Price,employees,CEO_age,intra_day_up,intra_week_up,intra_month_up,Symbol,ipoDate,sector,IPO_weekday,firstday_volume,inweek_volume,inmonth_volume,SP500_lastweek_return
13.0,126.0,62.0,0,0,0,VBTX,2014-10-09,Financial Services,3,1050728.0,138868.4299,644769.2111999997,-0.0031384122256443714
16.0,25.0,70.0,1,1,0,DERM,2014-10-03,Healthcare,4,5631288.0,1847958.2713000001,2878285.9440000006,-0.0021433695109604545
15.0,153641.0,59.0,1,1,1,ATTO,2014-10-02,Industrials,3,6995071.0,4017539.268,9085760.2753,-0.0026195149675365564
15.0,750.0,54.0,1,1,1,AAC,2014-10-02,Healthcare,3,2799073.0,707123.8093000001,3620816.0690000015,-0.0026195149675365564
10.0,36.0,68.0,1,1,1,CALA,2014-10-02,Healthcare,3,4633059.0,1089022.9899000002,3511062.853899999,-0.0026195149675365564
29.0,2104.0,48.0,0,1,1,W,2014-10-02,Consumer Cyclical,3,16000561.0,9943805.009799998,29586213.386800006,-0.0026195149675365564
16.0,2288.0,52.0,0,1,1,VSLR,2014-10-01,Technology,2,24800198.0,17262748.68,36866828.8023,-0.0034454642398576035
6.0,32.0,65.0,1,0,0,VBLT,2014-10-01,Healthcare,2,1242273.0,151187.33990000002,539448.9229000001,-0.0034454642398576035
9.0,450.0,69.0,1,1,1,SKIS,2014-11-21,Consumer Cyclical,4,4342872.0,1415320.0399000002,5137139.0308,0.0017631816935367941
18.0,2852.0,68.0,0,0,0,HABT,2014-11-20,Consumer Cyclical,3,11103026.0,9984720.009999998,28610016.847000014,0.0009148968304918086
9.0,126.0,59.0,0,0,0,EYES,2014-11-19,Healthcare,2,5016154.0,18969300.440900005,28445931.286199998,0.00073341082985523
17.5,217.0,70.0,1,1,1,PGRE,2014-11-19,Real Estate,2,57281771.0,27859040.460199997,75702983.53519998,0.00073341082985523
18.5,48.0,65.0,1,1,1,STOR,2014-11-18,Real Estate,1,10252827.0,3908082.5100000002,15905556.024699999,0.0013936027872035264
12.0,3331.0,57.46021093000968,1,0,1,EHIC,2014-11-18,Healthcare,1,6117578.0,2367451.9772,6803240.928500003,0.0013936027872035264
18.0,337.0,68.0,0,0,0,FGEN,2014-11-14,Healthcare,4,6442284.0,2426415.0847,8777769.935799997,0.0011444251998963737
19.0,0.0,63.0,1,1,1,LMRK,2014-11-14,Real Estate,4,605694.0,242487.49019999997,839525.4558000003,0.0011444251998963737
18.0,10600.0,63.0,0,0,0,PRAH,2014-11-13,Healthcare,3,6182450.0,2438065.409999999,11182381.318300003,0.0019244576574672934
8.0,147.0,56.0,0,0,0,SKYS,2014-11-13,Utilities,3,338320.0,953040.8199,1513410.3679,0.0019244576574672934
19.5,12650.0,54.0,0,0,0,AXTA,2014-11-12,Basic Materials,2,24860672.0,9252327.5301,34095879.491500005,0.001444502453553225
6.5,19.0,63.0,1,0,0,JYNT,2014-11-11,Healthcare,1,623899.0,316336.5185,836277.2060999991,0.0015276731445588324
15.0,150.0,59.0,0,0,1,FRPT,2014-11-07,Consumer Defensive,4,9931798.0,2531231.4700000007,18178267.526100002,0.0035483358415623017
12.0,463.0,44.0,0,0,0,TBK,2014-11-07,Financial Services,4,1377356.0,499886.463,2020724.0406999998,0.0035483358415623017
12.0,296.0,59.0,1,1,1,UPLD,2014-11-06,Technology,3,2617636.0,679760.0796,2895257.6361000007,0.0033004870249430584
13.5,46.0,67.0,1,1,1,CHRS,2014-11-06,Healthcare,3,3432498.0,1270679.0380000002,4514195.959599998,0.0033004870249430584
18.0,114.0,62.0,0,0,0,NVRO,2014-11-06,Healthcare,3,5642431.0,1017267.5425000001,4410183.149299999,0.0033004870249430584
25.0,0.0,68.0,1,1,1,AM,2014-11-05,Energy,2,30912742.0,4261116.74,11600171.605699997,0.0044667098899884294
9.0,74.0,54.0,0,0,0,XENE,2014-11-05,Healthcare,2,702302.0,1929439.3059999999,3004217.6645,0.0044667098899884294
19.0,30.0,53.0,0,0,0,BLCM,2014-12-18,Healthcare,3,9516832.0,4562863.629699999,15904707.0187,0.00021530629003223872
20.0,369.0,47.0,0,0,1,ONDK,2014-12-17,Financial Services,2,12699924.0,4771957.480500001,15230954.2151,-0.0032494120358316702
14.0,949.0,65.0,1,1,1,WK,2014-12-12,Technology,4,5035122.0,1313930.7171000002,4073798.1786999996,-0.005002847909808349
23.0,534.0,52.0,0,0,0,NEWR,2014-12-12,Technology,4,8348556.0,2091729.5764999997,6280687.248399996,-0.005002847909808349
11.0,232463.0,58.0,1,1,1,FCAU,2014-12-12,Consumer Cyclical,4,181.0,1560.6464,22421.49740000002,-0.005002847909808349
21.0,288.0,57.46021093000968,1,1,1,JRVR,2014-12-12,Financial Services,4,3419256.0,1943372.6099999994,4297245.253399998,-0.005002847909808349
15.0,742.0,53.0,0,0,0,LC,2014-12-11,Financial Services,3,46538539.0,53616844.43,111404397.17000003,-0.0021488007558429895
13.5,358.0,43.0,1,1,1,MOMO,2014-12-11,Technology,3,19850705.0,17052712.67,33349863.936499998,-0.0021488007558429895
11.0,45.0,50.0,1,1,1,HSGX,2014-12-03,Healthcare,2,1638277.0,868510.2652,2184331.2983000004,0.0007567699512491968
13.0,116.0,60.0,0,0,0,AVGR,2015-01-30,Healthcare,4,67470.0,39534.719999999994,119401.63599999997,-0.0025705844867665345
23.0,0.0,54.0,1,1,1,HIFR,2015-01-30,Real Estate,4,13924943.0,2955797.5649,11593470.284299998,-0.0025705844867665345
